,elevation_13,slope_13,aspect_13,placurv_13,procurv_13,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide,train
2841,178.0,2.8624053,90.0,-0.0,10.0,0.7047965237870812,5,163,49,1,1,5,2,7,2,6,2,65,0.02556818181818182,0.0,0.48532956831276064,0.002397357,0.02166946925716465,0.034340408999299014,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
1715,821.0,0.0,270.0,0.0,0.0,354.9454494398087,6,15,32,1,23,4,7,7,9,7,1,57,0.5529661016949152,0.3225,0.5027366942413637,0.27689958,0.9942946990814715,0.6486840008383118,Medium,Low,Medium,Low,High,Medium,Medium,Low,Medium,Low,Very High,High,0,1
1133,716.0,30.963757,90.0,-0.0,-120.0,0.2015489293262362,4,114,8,1,21,3,34,5,2,7,2,5,0.17533718689788053,0.01,0.49260893507817755,0.008236538,0.1235584202531002,0.09136843858007011,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4623,755.0,5.710593,270.0,-0.0,20.0,64.0816449392587,7,86,49,3,1,5,3,7,3,6,2,34,0.5529661016949152,0.07,0.49493317497680267,0.020837743,0.1711023828739949,0.1044430259277771,Medium,Low,Medium,Low,Low,Low,Medium,Very Low,Medium,Very Low,Very Low,Very Low,0,1
1551,341.0,8.049467,225.0,-0.0,0.0,19.781120277941227,6,156,40,1,23,4,2,7,10,7,1,29,0.02556818181818182,0.03,0.4946056770220026,0.023456289,0.14294274782887553,0.09751409702654881,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
8892,2029.0,0.0,270.0,0.0,0.0,135.8421944770962,6,144,22,1,37,3,62,4,2,7,2,3,0.8617245005257623,1.0,0.5072430753603389,0.9922271,0.927795201840188,0.9795045437077221,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
410,1540.0,23.430626,56.768288,-7.0945945,-27.094595,16.375103742815554,2,59,59,1,26,4,43,5,8,8,1,29,0.8617245005257623,0.11923076923076924,0.5018040234271531,0.10972001,0.5953595963935641,0.3363069490182549,High,Low,Medium,Low,Medium,Medium,Very High,Very Low,Medium,Very Low,Medium,Low,0,1
8284,1501.0,6.1373796,324.4623,-6.0,-16.0,82.75013962946832,3,0,62,8,44,6,64,9,13,3,1,36,0.8617245005257623,0.99,0.5094623480770241,0.9968401,0.91488273707173,0.9462424991917735,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
1362,902.0,6.457955,173.6598,-0.0,-20.0,3.5469113141298294,3,40,8,2,1,5,14,9,2,7,2,23,0.4534005037783375,0.1,0.5007624706071423,0.13769487,0.3290561528379185,0.6086198052684237,Medium,Low,Medium,Low,Low,Medium,Medium,Very Low,Medium,Very Low,Low,High,0,1
7789,1343.0,0.0,270.0,0.0,0.0,26.151991590857502,5,0,62,8,44,6,64,9,13,6,1,36,0.8617245005257623,0.98,0.507042946619543,0.98994195,0.8281235369721024,0.8955017580181723,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
8649,277.0,0.0,270.0,0.0,0.0,82.3274522703141,4,24,8,1,1,5,2,7,2,6,2,1,0.20710059171597633,0.7007142857142857,0.5006340700400906,0.7371125,0.4058577891418003,0.17977006309009425,Low,High,Medium,High,Medium,Low,Low,High,Medium,High,Medium,Very Low,1,1
5653,279.0,0.0,270.0,0.0,0.0,2.0582089461386204,5,163,49,1,1,5,2,7,2,5,2,13,0.02556818181818182,0.0,0.4903142586191099,0.0073833275,0.04326297178308132,0.03439511724953091,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
269,2117.0,23.132183,200.55605,-36.164383,73.83562,0.0,3,119,33,1,28,3,54,4,2,7,1,60,0.12217194570135746,0.011111111111111112,0.49532277865982866,0.03868861,0.5667800772538846,0.276610531861833,Low,Low,Medium,Low,Medium,Low,Very Low,Very Low,Medium,Very Low,Medium,Low,0,1
661,1580.0,8.530766,90.0,-0.0,-30.0,37.86374122835696,1,111,12,1,22,4,2,7,2,7,1,72,0.8617245005257623,0.26287008824508823,0.5018703938275104,0.33998954,0.5757463812238885,0.7044842622654884,High,Low,Medium,Medium,Medium,High,Very High,Low,Medium,Low,Medium,High,0,1
8803,2665.0,19.290047,270.0,-0.0,-70.0,27.175554553046823,5,19,10,1,15,3,61,4,10,7,2,26,0.8617245005257623,0.9225414781297134,0.5022323535860311,0.887674,0.7755508777021681,0.9362705540189332,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1,1
8446,2614.0,5.710593,90.0,-0.0,-20.0,110.03388327360152,3,110,62,8,44,6,64,9,13,6,1,56,0.8617245005257623,0.9,0.5075948818472865,0.9726873,0.9756269643516357,0.9759224872738327,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
7383,2234.0,5.710593,0.0,-0.0,20.0,81.60525141377002,1,73,8,1,24,4,2,7,2,8,2,53,0.8617245005257623,0.888453781512605,0.503258771355611,0.8082053,0.8250863356884758,0.9136089920262949,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
6019,1694.0,29.734274,66.80141,-0.0,-30.0,96.80290390644222,3,148,8,1,16,3,55,5,2,8,2,1,0.8617245005257623,0.9769268292682928,0.5047654711729527,0.9234832,0.7870837385259526,0.8924111247369051,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1,1
2868,26.0,2.8624053,180.0,-0.0,10.0,0.0,5,17,20,7,23,4,37,5,4,5,2,44,0.02556818181818182,0.0,0.4876626293401653,0.003094534,0.05890581330158141,0.03131647300824494,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
774,1660.0,34.99202,270.0,-0.0,-140.0,16.01231817342341,2,149,11,1,28,3,27,5,2,8,1,27,0.8617245005257623,0.37,0.5018517623310299,0.20468815,0.5608774394342527,0.4868615440301556,High,Medium,Medium,Low,Medium,Medium,Very High,Low,Medium,Low,Medium,Medium,0,1
5557,19.0,5.710593,0.0,-0.0,20.0,41.77828739583492,5,106,1,2,33,3,13,3,4,2,2,43,0.20710059171597633,0.0,0.4939348307508486,0.013919569,0.02459769445981656,0.04297233422928418,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
3850,514.0,15.909876,232.12502,5.0,5.0,2.353925172239542,6,8,8,1,23,4,10,7,2,8,2,53,0.17533718689788053,0.02,0.49412578005862073,0.01642851,0.14295021890308016,0.08548638639963327,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7475,2256.0,8.530766,270.0,-0.0,30.0,74.74662807397544,2,94,12,2,10,2,15,9,2,8,1,55,0.8617245005257623,0.9996259426847662,0.504387498614088,0.97597003,0.9211936331584952,0.9507954289452765,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
7024,2271.0,27.726187,92.72631,-0.0,-110.0,49.00060528703034,3,40,8,2,1,5,14,9,2,7,2,53,0.8617245005257623,0.9891767909509845,0.5058138437441948,0.9904253,0.6956423435006015,0.9484648403017893,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1,1
7735,742.0,2.8624053,180.0,-0.0,10.0,88.63965011388063,2,140,11,1,37,3,59,4,10,7,2,55,0.5529661016949152,0.76,0.5024529579815368,0.86726636,0.5414527295771908,0.6469810132328687,Medium,High,Medium,High,Medium,Medium,Medium,High,Medium,Very High,Medium,High,1,1
4579,359.0,6.37937,153.43495,20.0,-20.0,12.321899918839335,7,158,49,5,1,5,2,7,4,3,2,64,0.02556818181818182,0.0,0.48811642799164195,0.003203089,0.012957872826649891,0.03847775194041463,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
5697,199.0,0.0,270.0,0.0,0.0,1.0240021022036672,5,163,49,1,1,5,2,7,2,6,2,9,0.02556818181818182,0.0,0.4880673341643057,0.009710347,0.04872999491849184,0.03781132990795544,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7635,792.0,22.201387,40.03026,71.64706,-58.352943,0.0,6,15,32,1,23,4,7,7,9,7,1,35,0.17533718689788053,0.691,0.4917803940613557,0.675639,0.1853941400480297,0.08806071921650202,Low,High,Medium,High,Low,Low,Very Low,High,Medium,High,Very Low,Very Low,1,1
8367,402.0,0.0,270.0,0.0,0.0,38.477844750508666,4,134,24,1,19,4,28,5,2,7,1,80,0.5529661016949152,0.95,0.5038356859192432,0.981989,0.23238021670585568,0.24273994541164734,Medium,High,Medium,High,Low,Low,Medium,Very High,Medium,Very High,Low,Low,1,1
7052,2867.0,2.8624053,270.0,-0.0,10.0,19.07279734965413,2,151,14,1,43,4,63,5,2,7,1,55,0.8617245005257623,0.7776881720430108,0.5007486894951854,0.7836185,0.9250196632539982,0.7990795468400961,High,High,Medium,High,High,High,Very High,High,Medium,High,Very High,High,1,1
1933,156.0,5.710593,90.0,-0.0,20.0,28.04336839914322,5,163,49,1,1,5,2,7,2,7,2,64,0.02556818181818182,0.01,0.48938010462672316,0.004416403,0.03911639700814133,0.05045690056543838,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
3338,83.0,6.0544987,225.0,-8.0,-18.0,172.1727163605392,2,55,43,1,23,4,36,5,4,2,2,46,0.20710059171597633,0.1,0.4962917390193625,0.018897966,0.46989185135040457,0.2283927113007753,Low,Low,Medium,Low,Medium,Low,Low,Very Low,Medium,Very Low,Medium,Low,0,1
7310,2626.0,0.0,270.0,0.0,0.0,39.90688494592905,2,125,12,1,23,4,2,7,2,7,1,72,0.8617245005257623,0.9988888888888888,0.5038372001379106,0.97832346,0.8378688232864622,0.8917706113305607,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
7554,1222.0,0.0,270.0,0.0,0.0,60.37251551449299,4,118,62,8,44,6,64,9,13,7,1,9,0.8617245005257623,1.0,0.5068192441966163,0.98902506,0.8931273316370446,0.9093309688586386,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
2783,25.0,0.0,270.0,0.0,0.0,8.79215681552887,7,72,47,5,1,5,2,7,4,2,2,9,0.02556818181818182,0.0,0.4902321312005402,0.0025738971,0.02282996612465126,0.028374388712741158,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7652,147.0,5.0511527,45.0,7.5,-12.5,94.47197152208535,6,121,1,1,27,4,2,7,4,3,2,53,0.20710059171597633,0.6841954022988506,0.49539614485878364,0.77396107,0.10701635380414848,0.08135087230587784,Low,High,Medium,High,Low,Low,Low,High,Medium,High,Very Low,Very Low,1,1
5109,499.0,26.565052,0.0,-0.0,-100.0,0.0792623832821846,3,148,8,1,16,3,55,5,2,7,2,53,0.17533718689788053,0.01,0.49076325111557856,0.0046297903,0.08140435295640529,0.049230564821495765,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7061,638.0,2.8624053,0.0,-0.0,10.0,22.961913651786745,3,118,62,8,44,6,64,9,13,7,1,77,0.17533718689788053,0.93,0.4993754511124508,0.86132425,0.48284259247858746,0.6580464642199955,Low,High,Medium,High,Medium,Medium,Very Low,Very High,Medium,Very High,Medium,High,1,1
9639,1610.0,5.710593,270.0,-0.0,20.0,46.52271564211696,2,48,12,1,13,4,34,5,2,8,1,29,0.8617245005257623,0.9977965960510078,0.505136208608459,0.9822181,0.8334367571887388,0.9398823024035683,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
6609,1201.0,5.710593,180.0,-0.0,-20.0,42.17077086400241,5,117,62,8,44,6,64,9,13,2,2,9,0.8617245005257623,0.96,0.5025357723856497,0.9607999,0.44149885791701343,0.45152518803696146,High,High,Medium,High,Medium,Medium,Very High,Very High,Medium,Very High,Medium,Medium,1,1
5454,201.0,2.8624053,270.0,-0.0,10.0,42.184615563601255,7,77,49,1,1,5,2,7,4,4,2,9,0.20710059171597633,0.0,0.49183195975016086,0.0032790003,0.07118902408363553,0.03554471284156604,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
6147,595.0,0.0,270.0,0.0,0.0,152.41469630226493,2,57,39,1,11,3,18,4,10,4,1,31,0.5529661016949152,0.8191428571428571,0.5034002445499899,0.9574311,0.6880982893192606,0.8069685203334359,Medium,High,Medium,High,High,High,Medium,Very High,Medium,Very High,High,Very High,1,1
7440,1458.0,0.0,270.0,0.0,0.0,90.21140855178236,3,148,8,1,16,3,55,5,2,7,2,53,0.8617245005257623,0.8555652173913043,0.5044369517807424,0.87618506,0.7103982142761942,0.8415773975215454,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1,1
3953,230.0,6.1373796,324.4623,-6.0,-16.0,0.5587701434269547,7,158,49,5,1,5,2,7,4,6,2,64,0.02556818181818182,0.0,0.48352504745203495,0.0014274748,0.02022997181625112,0.050406929794838295,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
2940,128.0,18.850546,156.2505,-10.0,-40.0,0.0,1,24,8,1,1,5,2,7,2,7,2,78,0.02556818181818182,0.02,0.48845301325152196,0.00958936,0.06935148741942165,0.06812977154836859,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
3939,251.0,0.0,270.0,0.0,0.0,0.3555198907852173,7,118,62,8,44,6,64,9,13,3,2,13,0.02556818181818182,0.03,0.492139398446393,0.039809763,0.13039179480431365,0.11727055234833948,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
3679,53.0,2.8624053,180.0,-0.0,-10.0,23.00938885100186,4,17,20,7,23,4,37,5,4,2,2,41,0.02556818181818182,0.0008333333333333333,0.4913230356097963,0.005359037,0.059366828216138104,0.03898804722162319,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
205,1259.0,24.227745,180.0,-0.0,90.0,9.590502967126667,3,81,38,1,1,5,2,7,2,7,1,29,0.4534005037783375,0.06,0.49965626998469814,0.13554402,0.33513758259307436,0.21624731670110234,Medium,Low,Medium,Low,Medium,Low,Medium,Very Low,Medium,Very Low,Low,Low,0,1
2919,79.0,10.779772,246.8014,-9.0,31.0,8.404416512697935,1,35,49,7,1,5,2,7,4,3,2,67,0.02556818181818182,0.0,0.4879963901519384,0.0019361078,0.0305518380104677,0.05665969263828828,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
6380,82.0,2.8624053,0.0,-0.0,-10.0,109.47983357775956,1,24,8,1,1,5,2,7,2,6,2,21,0.20710059171597633,0.8266666666666667,0.49839852298816695,0.8823409,0.4234092376480804,0.2753997513068856,Low,High,Medium,High,Medium,Low,Low,Very High,Medium,Very High,Medium,Low,1,1
8605,642.0,0.0,270.0,0.0,0.0,44.669026313349605,6,144,22,1,37,3,62,4,2,8,2,1,0.5529661016949152,0.99,0.50323419764731,0.97837454,0.4209597127116053,0.7728205691686574,Medium,High,Medium,High,Medium,High,Medium,Very High,Medium,Very High,Medium,High,1,1
2235,850.0,0.0,270.0,0.0,0.0,29.17676930781454,6,8,8,1,23,4,10,7,2,7,2,26,0.6535269709543569,0.37875,0.5002148530770228,0.3854798,0.35538143160279045,0.3157622656124637,Medium,Medium,Medium,Medium,Medium,Low,High,Low,Medium,Low,Low,Low,0,1
911,2234.0,30.963757,0.0,-0.0,120.0,8.012167520821095,2,102,8,1,24,4,2,7,2,7,1,29,0.4534005037783375,0.16954545454545453,0.4995114865328562,0.11821192,0.6245193739134041,0.6326850525757648,Medium,Low,Medium,Low,Medium,Medium,Medium,Very Low,Medium,Very Low,High,High,0,1
9383,1143.0,0.0,270.0,0.0,0.0,20.340666642412543,3,40,8,2,1,5,14,9,2,7,2,53,0.6535269709543569,1.0,0.503488835212067,0.97945875,0.43644860844693745,0.7853319485738863,Medium,High,Medium,High,Medium,High,High,Very High,Medium,Very High,Medium,High,1,1
3369,111.0,0.0,270.0,0.0,0.0,0.1238096132874488,4,133,9,7,1,5,2,7,4,3,2,66,0.02556818181818182,0.0,0.48949712871169476,0.0036805104,0.02062812567483255,0.05458798295957884,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
2244,942.0,26.217613,246.0375,-4.494382,-34.49438,125.09103400819004,3,148,8,1,16,3,55,5,2,7,2,53,0.6535269709543569,0.07181818181818182,0.5001022572691155,0.07565137,0.6282182878956459,0.7417110715302688,Medium,Low,Medium,Low,Medium,High,High,Very Low,Medium,Very Low,High,High,0,1
4598,194.0,19.290047,90.0,-0.0,70.0,0.0,5,121,1,1,27,4,2,7,4,3,2,4,0.02556818181818182,0.0,0.48695909381874597,0.0020577447,0.03855391793410619,0.030624859289059756,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
6571,1097.0,2.8624053,90.0,-0.0,10.0,150.2328971363604,4,74,48,1,1,5,2,7,2,7,1,62,0.6535269709543569,0.88,0.5053029847649685,0.973743,0.7795965487009895,0.8006555164793123,Medium,High,Medium,High,High,High,High,Very High,Medium,Very High,High,Very High,1,1
322,2884.0,1.0127504,225.0,0.0,0.0,43.85479279980064,2,45,11,1,11,3,41,5,8,6,1,55,0.8617245005257623,0.3344904458598726,0.5020421988106945,0.22146025,0.9109154722058879,0.9693266550561901,High,Medium,Medium,Low,High,High,Very High,Low,Medium,Low,Very High,Very High,0,1
1640,713.0,8.530766,180.0,-0.0,-30.0,0.0,3,75,60,1,23,4,2,7,2,6,1,77,0.17533718689788053,0.02,0.4921589937741739,0.027018845,0.13289897083976795,0.07872755569878935,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
5783,2399.0,0.0,270.0,0.0,0.0,42.85243043210357,2,109,11,1,29,3,50,4,4,2,1,56,0.8617245005257623,0.97,0.502910808119802,0.89635706,0.7371636807428549,0.8549716278618612,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1,1
4492,36.0,2.8624053,180.0,-0.0,-10.0,0.6758702481165528,5,106,1,2,33,3,13,3,4,2,2,43,0.02556818181818182,0.0,0.4884569741783938,0.002347878,0.01574450493632933,0.022484734074969863,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4734,70.0,10.2193775,303.69006,23.076923,-26.923077,34.981166295707226,7,155,11,1,11,3,36,5,6,2,2,45,0.02556818181818182,0.0,0.4900959857457153,0.0055212444,0.02841232274793841,0.034730665781099256,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
8241,2595.0,16.253918,59.036243,-35.294117,44.705883,20.283098622225225,2,151,14,1,43,4,63,5,2,6,1,55,0.8617245005257623,0.89,0.5019795654218866,0.9212901,0.8411402422518537,0.6680259606851063,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,High,1,1
2007,858.0,2.8624053,0.0,-0.0,10.0,33.45835364423692,3,118,62,8,44,6,64,9,13,3,1,9,0.6535269709543569,0.34666666666666673,0.5016552897784329,0.34922785,0.5707969611309921,0.647804129777745,Medium,Medium,Medium,Medium,Medium,Medium,High,Low,Medium,Low,Medium,High,0,1
7281,1330.0,16.699244,180.0,-0.0,60.0,25.740031969733536,5,19,10,1,15,3,61,4,10,7,2,53,0.8617245005257623,0.884931983805668,0.5002113820231121,0.87424994,0.36899073459159537,0.48565282832984064,High,High,Medium,High,Medium,Medium,Very High,Very High,Medium,Very High,Low,Medium,1,1
4706,317.0,9.256682,184.39871,-0.0,-30.0,0.0132157299667596,5,24,8,1,1,5,2,7,2,7,2,64,0.02556818181818182,0.0,0.48836931152403323,0.0034357177,0.07082332451743634,0.060394175598348275,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
2764,185.0,0.0,270.0,0.0,0.0,231.0857877945528,4,157,23,1,41,3,36,5,2,4,2,71,0.20710059171597633,0.08,0.4987926775295632,0.11380078,0.7101768663141926,0.41331108074616546,Low,Low,Medium,Low,High,Medium,Low,Very Low,Medium,Very Low,High,Medium,0,1
4519,676.0,8.530766,180.0,-0.0,30.0,98.057465871796,2,140,11,1,37,3,59,4,10,7,1,15,0.5529661016949152,0.27,0.5030101413032044,0.2685982,0.7944599006831404,0.9109502319528233,Medium,Low,Medium,Low,High,High,Medium,Low,Medium,Low,High,Very High,0,1
5605,157.0,8.293805,300.96375,27.692308,-22.307693,6.27796227298677,3,118,62,8,44,6,64,9,13,7,2,80,0.02556818181818182,0.09,0.49752140287047036,0.10165503,0.1884602316014262,0.2974745751624997,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Low,0,1
8842,1411.0,2.263636,288.43494,-0.0,10.0,115.36630478873847,2,49,11,1,38,3,59,4,11,2,2,3,0.8617245005257623,1.0,0.5045717272475108,0.99017465,0.8109041319971988,0.9108788757755351,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
1736,495.0,0.0,270.0,0.0,0.0,123.57544099073856,2,33,13,1,42,3,31,5,10,3,1,15,0.5529661016949152,0.38044444444444453,0.5040315228054427,0.5068696,0.7754497989950897,0.8168803724485793,Medium,Medium,Medium,Medium,High,High,Medium,Low,Medium,Medium,High,Very High,0,1
858,3082.0,7.0541315,45.0,0.0,0.0,0.0,5,152,8,1,37,3,2,7,2,7,2,53,0.12217194570135746,0.05,0.49483258891286946,0.05649241,0.537975909922342,0.336622993886796,Low,Low,Medium,Low,Medium,Medium,Very Low,Very Low,Medium,Very Low,Medium,Low,0,1
2259,93.0,29.933968,27.121304,58.63402,-121.36598,13.991102087311448,3,124,58,1,1,5,2,7,2,7,1,50,0.02556818181818182,0.04,0.4920381735096362,0.031534065,0.0572712805067821,0.06127176306589043,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
34,1593.0,32.720943,217.09283,-24.911764,-64.911766,55.10400268249214,2,37,11,1,37,3,24,5,2,8,1,53,0.8617245005257623,0.16327351832989087,0.503473590466921,0.17467125,0.7564304279415592,0.6738308468948904,High,Low,Medium,Low,High,High,Very High,Very Low,Medium,Very Low,High,High,0,1
2161,623.0,21.331266,219.80557,4.9180326,14.918033,119.80846431851388,6,8,8,1,23,4,10,7,2,8,2,5,0.5529661016949152,0.24,0.4996686980783201,0.13253501,0.6801669829116698,0.45214584787856443,Medium,Low,Medium,Low,High,Medium,Medium,Low,Medium,Very Low,High,Medium,0,1
2179,561.0,0.0,270.0,0.0,0.0,0.4647249802947044,3,148,8,1,16,3,55,5,2,7,2,53,0.17533718689788053,0.0,0.4934067170615572,0.008784795,0.16410055038048774,0.08491128628665019,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
5920,1582.0,10.825044,168.69006,12.941176,-37.058823,37.69266175478697,1,65,11,1,24,4,6,5,5,3,1,36,0.8617245005257623,0.9777900526892463,0.5044810892292136,0.98386824,0.4677948958156395,0.8701406926586236,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,Medium,Very High,1,1
2635,14.0,6.37937,296.56506,4.0,14.0,90.05462100636214,5,145,19,1,29,3,54,4,12,1,2,11,0.20710059171597633,0.05,0.49571430848622516,0.03959872,0.13547269605533477,0.11648872460499216,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4540,809.0,11.309933,270.0,-0.0,-40.0,0.1238409224897623,4,147,22,1,28,3,29,5,2,7,1,62,0.17533718689788053,0.021458333333333336,0.49359451797100146,0.018394254,0.19687125157537885,0.12888283325683053,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
6121,1191.0,5.710593,90.0,-0.0,20.0,124.07412690110505,0,1,0,0,0,0,1,1,1,0,0,0,0.8617245005257623,0.91,0.5023843310952567,0.96270895,0.6524906349675142,0.6019151772802539,High,High,Medium,High,Medium,Medium,Very High,Very High,Medium,Very High,High,High,1,1
9386,1024.0,0.0,270.0,0.0,0.0,23.592018451541666,3,40,8,2,1,5,14,9,2,7,2,53,0.6535269709543569,0.99,0.5026932559675003,0.9531843,0.4186464081741274,0.755273710363043,Medium,High,Medium,High,Medium,High,High,Very High,Medium,Very High,Medium,High,1,1
9661,597.0,0.0,270.0,0.0,0.0,43.93687746953219,3,40,8,2,1,5,14,9,2,7,2,23,0.5529661016949152,0.9141428571428571,0.504066526846094,0.96158624,0.4662386327463024,0.6368388082810512,Medium,High,Medium,High,Medium,Medium,Medium,Very High,Medium,Very High,Medium,High,1,1
6374,1526.0,0.0,270.0,0.0,0.0,219.92017538752407,2,118,62,8,44,6,64,9,13,2,2,31,0.8617245005257623,1.0,0.5076227375149038,0.99329996,0.9713200754891094,0.8782018959083266,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
4991,1137.0,27.938353,315.0,65.0,-75.0,0.0,6,41,22,1,37,3,30,5,9,7,1,54,0.12217194570135746,0.06,0.49310574933368284,0.04006364,0.2756163321615883,0.10398693351496435,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0,1
2385,108.0,0.0,270.0,0.0,0.0,50.04691189713776,1,72,47,5,1,5,2,7,4,2,1,15,0.20710059171597633,0.06,0.4952314504315401,0.012049721,0.18033351580437162,0.10520285003348998,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
3986,75.0,0.0,270.0,0.0,0.0,2.4218780053779483,1,72,47,5,1,5,2,7,4,3,1,15,0.02556818181818182,0.02,0.4930842837983483,0.009624617,0.10109452786298484,0.05952355617961013,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4842,1057.0,16.699244,90.0,-0.0,60.0,184.5130159268156,3,81,38,1,1,5,2,7,2,4,1,77,0.6535269709543569,0.24380434782608695,0.5009802639167157,0.26366293,0.7449855800269746,0.7404989141389433,Medium,Low,Medium,Low,High,High,High,Low,Medium,Low,High,High,0,1
4128,85.0,8.984877,71.56505,6.0,26.0,0.5638233777135611,7,77,49,1,1,5,2,7,4,3,2,9,0.02556818181818182,0.0,0.4853497611535144,0.0012574573,0.019436573625537936,0.02359133999545877,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
