,elevation_13,slope_13,aspect_13,placurv_13,procurv_13,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide,train
1993,94.0,2.8624053,0.0,-0.0,-10.0,6.2103511383757,7,79,49,7,1,5,2,7,4,5,2,22,0.02556818181818182,0.0,0.48772577808944084,0.002337569,0.023100877539424722,0.04140793513043716,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
6130,1527.0,5.710593,270.0,-0.0,-20.0,79.91772184800357,3,0,62,8,44,6,64,9,13,7,1,36,0.8617245005257623,1.0,0.5092798142954698,0.99655175,0.9545943443018347,0.9621720642773643,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
4386,785.0,40.589127,336.80142,-86.29508,143.70493,54.3668055543676,1,24,8,1,1,5,2,7,2,7,2,54,0.5529661016949152,0.07133333333333333,0.4976075392787738,0.05879939,0.336912332433,0.28600560138632225,Medium,Low,Medium,Low,Medium,Low,Medium,Very Low,Medium,Very Low,Low,Low,0,1
9192,2287.0,2.8624053,90.0,-0.0,10.0,49.25455407053232,5,152,8,1,37,3,2,7,2,7,2,26,0.8617245005257623,0.8223214285714286,0.5023955396362259,0.87888414,0.6297847903031744,0.6798302088410749,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,High,High,1,1
3947,512.0,6.0544987,225.0,8.0,18.0,5.273544441908598,4,114,8,1,21,3,34,5,2,7,2,5,0.17533718689788053,0.02,0.49564524165495677,0.019426381,0.17534584337560677,0.10561773478526308,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
1048,116.0,21.331266,129.80557,-4.9180326,-14.918033,13.300116918981075,6,62,53,1,24,4,2,7,2,6,2,78,0.02556818181818182,0.02,0.49206930665555165,0.019875593,0.027869113395185687,0.03800218244326892,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
5969,2543.0,2.8624053,90.0,-0.0,-10.0,50.17953507229686,2,94,12,2,10,2,15,9,2,4,1,56,0.8617245005257623,0.9997435897435898,0.505889414937138,0.98151475,0.8099792473551124,0.8909852240474699,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
7910,1659.0,0.0,270.0,0.0,0.0,68.23584524728358,3,127,62,8,44,6,64,9,13,7,1,60,0.8617245005257623,1.0,0.5068529994115146,0.98800373,0.9089112552283145,0.9469534677755209,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
1092,187.0,0.0,270.0,0.0,0.0,59.02490055095405,5,24,8,1,1,5,2,7,2,7,2,4,0.20710059171597633,0.008095238095238095,0.49640979097085564,0.03207485,0.30039637854147155,0.11574484430730735,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Low,Very Low,0,1
3649,132.0,2.263636,161.56505,-0.0,10.0,105.18635474424808,6,27,49,1,5,1,2,7,4,3,2,68,0.20710059171597633,0.01,0.4917440143933469,0.009553216,0.08337843102933809,0.12032334832071545,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4027,177.0,5.0511527,315.0,7.5,-12.5,24.26408947911113,5,24,8,1,1,5,2,7,2,7,2,53,0.02556818181818182,0.0,0.49270832025194516,0.013666801,0.12021785143937813,0.07814926325023437,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7443,1015.0,0.0,270.0,0.0,0.0,113.98889409378172,6,8,8,1,23,4,10,7,2,7,2,26,0.6535269709543569,0.9075,0.5031609865683893,0.90833193,0.7409582504011404,0.7169073592809533,Medium,High,Medium,High,High,High,High,Very High,Medium,Very High,High,High,1,1
6393,1402.0,19.290047,90.0,-0.0,70.0,164.99778831377623,1,65,11,1,24,4,6,5,5,6,1,36,0.8617245005257623,0.9976470355731224,0.5074150576565782,0.9971084,0.9067250415465514,0.9868646649551502,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
