,landslide_id,latitude,longitude,landslide,event_date,rock_geo,rock_period,fis_nomr,rock_type,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_tax,soil_use
105077,105077,14.79035719,-91.40914386,0,2018-03-14,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tp,Ceniza Volcánica o Roca,Buen Drenaje,Franco-Turbosa,Moderadamente Fina,Franco-arcillosa a Franco-arcillo-limosa,Moderadamente Fina,Alto,Andisoles,VI
105078,105078,14.82595412,-91.78930574,0,2021-03-13,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Chv,Ceniza Volcánica,Drenaje Excesivo,Arena Fina-Franca Suelta o Arena Muy Fina -Franca,Gruesa,Ceniza no Intemperizada,--,Alto,Andisoles,VIII
105079,105079,14.81880961,-91.79087264,0,2019-09-14,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Chv,Ceniza Volcánica,Drenaje Excesivo,Arena Fina-Franca Suelta o Arena Muy Fina -Franca,Gruesa,Ceniza no Intemperizada,--,Alto,Andisoles,VIII
105084,105084,14.84350929,-91.45319874,0,2017-01-23,Qp,Terciario Superior (Plioceno)  hasta cuaternario inferior (Pleistoceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Qe,Ceniza Volcánica,Buen Drenaje,Franco-Arenosa Fina,Media,Franco-Arenosa a Franco-Arenosa Fina,Media,Bajo,Andisoles,II
105087,105087,14.79793856,-91.69821119,0,2010-11-19,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Chv,Ceniza Volcánica,Drenaje Excesivo,Arena Fina-Franca Suelta o Arena Muy Fina -Franca,Gruesa,Ceniza no Intemperizada,--,Alto,Andisoles,VIII
105090,105090,14.76595842,-89.94194396,0,2019-03-05,Qv,Terciario superior al Cuaternario,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Sn,Serpentina,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Alto,Inceptisoles,VII
105091,105091,14.60414662,-90.00397181,0,2013-02-06,Tv,Terciario superior al principio del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Mg,Lava Máfica o Brecha de Toba,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Alto,Entisoles,VII
105093,105093,14.58676377,-89.94248832,0,2018-01-05,Tv,Terciario superior al principio del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Jl,Ceniza Volcánica o Toba,Drenaje Excesivo,Franco-Arenosa Fina,Media,Franca o Franco-Arenosa Fina,Media,Alto,Entisoles,VII
105101,105101,14.75856087,-91.7292146,0,2018-04-25,Qp,Cuaternario (Holoceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Chv,Ceniza Volcánica,Drenaje Excesivo,Arena Fina-Franca Suelta o Arena Muy Fina -Franca,Gruesa,Ceniza no Intemperizada,--,Alto,Andisoles,VII
105128,105128,14.77716724,-90.87568929,0,2019-05-19,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,VII
105150,105150,14.67744563,-90.91104072,0,2012-06-03,Qp,Período Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tc,Ceniza Volcánica,Buen Drenaje,Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Bajo,Andisoles,VII
105152,105152,14.6432792,-90.78210949,0,2017-07-11,Qp,"Pleistoceno al Holoceno, es decir del período Cuaternario.",Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gt,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa a Arcilla,Moderadamente Fina,Arcilla a Franco- Arcillosa o Franco-Arcillo- Arenosa,Moderadamente Fina,Bajo (Alto en las zonas quebradas),Andisoles,II
105153,105153,14.64785745,-91.05958023,0,2019-12-05,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cm,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Regular a Bajo,Andisoles,VII
105176,105176,14.67739221,-89.39599248,0,2019-07-21,Ksd,Cretácico superior al Terciario inferior.,Tierras Altas Volcánicas,Rocas Sedimentarias,Jl,Ceniza Volcánica o Toba,Drenaje Excesivo,Franco-Arenosa Fina,Media,Franca o Franco-Arenosa Fina,Media,Alto,Entisoles,VII
105231,105231,14.61914688,-91.33430172,0,2017-03-16,Tv,Finales del Terciario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Sx,Ceniza Volcánica,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa a Franco-Arcillo-Limosa,Media,Regular a Alto,Andisoles,VIII
105250,105250,14.57993479,-90.83698439,0,2010-07-16,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Al,Ceniza Volcánica,Buen Drenaje,Franco-Arenosa,Moderadamente Fina,-999,-999,Alto,Andisoles,VIII
105257,105257,14.55932747,-90.33697153,0,2013-06-13,Tv,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cme,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Muy Alto,Entisoles,VII
105281,105281,14.56838733,-90.96879007,0,2012-02-23,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Ba,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa,Moderadamente Fina,Regular a Alto,Andisoles,VIII
105413,105413,14.36383064,-90.22307946,0,2016-06-01,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Jl,Ceniza Volcánica o Toba,Drenaje Excesivo,Franco-Arenosa Fina,Media,Franca o Franco-Arenosa Fina,Media,Alto,Inceptisoles,VII
105445,105445,14.36977615,-90.06253086,0,2017-02-24,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Ay,Ceniza Volcánica o Toba,Buen Drenaje,Franco-Limosa,Media,Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Andisoles,VII
105454,105454,14.41908341,-89.92937211,0,2012-09-15,Tv,Terciario superior al principio del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pi,Toba Volcánica o brecha de Toba de color claro,Buen Drenaje,Franco-Limosa,Media,Arcillo-Arenosa-Gravosa o Arcilla a Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Inceptisoles,VII
105458,105458,14.40789114,-89.9694486,0,2018-06-05,Tv,Terciario superior al principio del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Ay,Ceniza Volcánica o Toba,Buen Drenaje,Franco-Limosa,Media,Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Andisoles,III
105464,105464,14.20896901,-89.81537684,0,2016-09-07,Tv,Terciario superior al principio del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Mg,Lava Máfica o Brecha de Toba,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Alto,Entisoles,VII
105532,105532,14.33092489,-90.07901284,0,2019-11-06,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Jl,Ceniza Volcánica o Toba,Drenaje Excesivo,Franco-Arenosa Fina,Media,Franca o Franco-Arenosa Fina,Media,Alto,Entisoles,VII
105549,105549,14.25737131,-90.47014279,0,2017-02-15,Tv,Terciario Superior y Cuaternario Antiguo.,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Bb,Flujo Lodoso o Lahar Máfico,Buen Drenaje,Franco-Arcillosa,Moderadamente Fina,Arcilla a Franco-Arcillosa,Muy Fina,Regular,Ultisoles,VII
105644,105644,14.15984235,-90.29115971,0,2014-05-20,Tv,Terciario Superior y Cuaternario antiguo,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cu,Flujo Lodoso o Lahar Máfico,Buen Drenaje,Franca o Franca-Arcillosa,Media,Arcilla o Franco-Arcillosa,Moderadamente Fina,Regular a Alto,Inceptisoles,VIII
105645,105645,14.1840376,-90.25416848,0,2017-07-26,Tv,Terciario Superior y Cuaternario antiguo,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cc,Roca Máfica,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Regular a Alto,Inceptisoles,VII
105647,105647,14.1580695,-90.26123844,0,2016-11-13,Tv,Terciario Superior y Cuaternario antiguo,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cc,Roca Máfica,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Regular a Alto,Inceptisoles,VII
105746,105746,15.54119406,-91.65275454,0,2021-03-12,JKts,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Co,Caliza,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Muy Alto,Entisoles,VII
105747,105747,15.61101664,-91.52257486,0,2016-06-20,Ksd,Emergio en el Terciario y se ha seguido moldeando después de la deposición del Cretácico.,Tierras Altas Sedimentarias,Rocas Sedimentarias,Co,Caliza,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Muy Alto,Entisoles,VIII
