,slope_1,slope_6,slope_11,slope_16,slope_21,slope_2,slope_7,slope_12,slope_17,slope_22,slope_3,slope_8,slope_13,slope_18,slope_23,slope_4,slope_9,slope_14,slope_19,slope_24,slope_5,slope_10,slope_15,slope_20,slope_25,aspect_1,aspect_6,aspect_11,aspect_16,aspect_21,aspect_2,aspect_7,aspect_12,aspect_17,aspect_22,aspect_3,aspect_8,aspect_13,aspect_18,aspect_23,aspect_4,aspect_9,aspect_14,aspect_19,aspect_24,aspect_5,aspect_10,aspect_15,aspect_20,aspect_25,curvature_1,curvature_6,curvature_11,curvature_16,curvature_21,curvature_2,curvature_7,curvature_12,curvature_17,curvature_22,curvature_3,curvature_8,curvature_13,curvature_18,curvature_23,curvature_4,curvature_9,curvature_14,curvature_19,curvature_24,curvature_5,curvature_10,curvature_15,curvature_20,curvature_25
17635,49.24429,49.24429,20.0,28.504387,25.739077,49.24429,49.24429,20.0,24.748737,21.505814,45.0,45.0,0.0,15.0,15.0,45.449146,40.350033,5.0,19.039433,21.505814,35.399506,28.559149,5.0,23.717083,25.739077,113.96249,113.96249,180.0,127.874985,119.0546,113.96249,113.96249,180.0,135.0,125.53768,90.0,90.0,270.0,90.0,90.0,121.504265,106.18921,180.0,113.19859,125.53768,132.13759,113.19859,180.0,108.43495,119.0546,130.0,-50.0,40.0,90.0,-30.0,50.0,-130.0,-40.0,-10.0,-50.0,90.0,-90.0,-0.0,30.0,-30.0,150.0,-80.0,10.0,40.0,-0.0,-20.0,-50.0,-10.0,40.0,-80.0
17641,5.0,5.0,0.0,3.9528472,5.303301,5.0,5.0,0.0,1.767767,3.9528472,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,1.767767,3.9528472,5.0,5.0,0.0,3.9528472,5.303301,270.0,270.0,270.0,251.56505,225.0,270.0,270.0,270.0,225.0,198.43495,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,135.0,161.56505,270.0,270.0,270.0,108.43495,135.0,-10.0,10.0,-0.0,-10.0,20.0,-10.0,10.0,-0.0,-0.0,-10.0,-10.0,10.0,-0.0,-0.0,-0.0,-10.0,10.0,-0.0,-0.0,10.0,-10.0,10.0,-0.0,10.0,-20.0
17645,31.27499,31.474195,5.0,35.35534,35.35534,33.77314,33.957695,5.0,35.35534,35.35534,35.0,35.0,0.0,35.0,35.0,47.860474,42.46322,25.0,30.872723,26.279745,43.33734,37.291084,25.0,18.45603,8.838835,92.29061,96.84277,180.0,98.130104,98.130104,92.12109,96.340195,180.0,98.130104,98.130104,90.0,90.0,270.0,90.0,90.0,139.23639,132.61406,180.0,121.75948,87.27369,146.7683,140.44034,180.0,151.69925,81.869896,60.0,-50.0,10.0,80.0,-60.0,70.0,-80.0,-10.0,60.0,-80.0,70.0,-70.0,-0.0,70.0,-70.0,150.0,-20.0,50.0,120.0,-90.0,-40.0,-90.0,-50.0,-50.0,20.0
17646,43.04794,40.81207,35.0,56.596157,51.387012,42.01934,39.72562,35.0,46.266888,39.72562,15.0,15.0,0.0,30.0,30.0,68.21382,70.644356,70.0,87.76745,103.75753,68.852196,71.26096,70.0,96.77616,111.4815,154.179,152.65013,180.0,120.52971,108.43495,157.24902,155.85446,180.0,128.41806,114.14554,90.0,90.0,270.0,90.0,90.0,166.2184,166.70143,180.0,153.79988,158.07042,164.19748,164.74489,180.0,144.46233,149.69733,120.0,30.0,70.0,180.0,-90.0,-50.0,-100.0,-70.0,-10.0,-80.0,30.0,-30.0,-0.0,60.0,-60.0,160.0,110.0,140.0,200.0,150.0,-90.0,-180.0,-140.0,-10.0,-340.0
17651,24.04423,21.578346,0.0,12.747549,14.57738,17.765839,14.252193,0.0,7.9056945,10.606602,10.0,10.0,0.0,5.0,5.0,7.28869,12.869538,15.0,16.67708,19.121323,3.9528472,11.319232,15.0,16.298006,18.79162,297.89728,280.00797,270.0,258.69006,239.03624,309.2894,285.25513,270.0,251.56505,225.0,270.0,270.0,270.0,270.0,270.0,239.03624,209.05461,180.0,192.99461,191.30994,161.56505,173.6598,180.0,184.39871,183.81407,-80.0,50.0,-0.0,-30.0,50.0,10.0,20.0,-0.0,-10.0,-10.0,-20.0,20.0,-0.0,-10.0,10.0,-20.0,50.0,30.0,20.0,50.0,10.0,-40.0,-30.0,-30.0,-40.0
17652,25.0,25.0,15.0,31.868872,30.872723,25.0,25.0,15.0,29.633175,28.559149,20.0,20.0,0.0,25.0,25.0,22.36068,22.36068,10.0,23.717083,22.638464,22.36068,22.36068,10.0,19.039433,17.67767,306.8699,306.8699,0.0,295.55997,291.37064,306.8699,306.8699,0.0,297.64597,293.19858,270.0,270.0,270.0,270.0,270.0,296.56506,296.56506,0.0,288.43494,276.34018,296.56506,296.56506,0.0,293.19858,278.1301,-70.0,10.0,-30.0,-90.0,40.0,-10.0,70.0,30.0,-20.0,70.0,-40.0,40.0,-0.0,-50.0,50.0,-60.0,20.0,-20.0,-70.0,50.0,-20.0,60.0,20.0,-10.0,30.0
17658,83.75933,99.1369,85.0,142.52193,145.64513,102.48476,115.39335,85.0,146.50085,149.54097,100.0,100.0,0.0,120.0,120.0,152.02795,162.98006,130.0,153.95819,131.7787,162.98006,173.24117,130.0,134.2223,108.06538,127.725,138.06648,180.0,127.874985,129.4278,120.00492,129.7261,180.0,126.67435,128.21103,90.0,90.0,270.0,90.0,90.0,135.0,138.7314,180.0,137.63243,128.06566,131.2686,135.0,180.0,147.93805,138.75172,190.0,60.0,170.0,390.0,-30.0,120.0,-370.0,-170.0,70.0,-430.0,200.0,-200.0,-0.0,240.0,-240.0,400.0,60.0,260.0,500.0,-110.0,60.0,-520.0,-260.0,-150.0,-240.0
17659,12.374369,10.752907,5.0,7.9056945,7.9056945,10.752907,8.838835,5.0,3.535534,3.535534,5.0,5.0,0.0,0.0,0.0,7.071068,7.071068,5.0,6.3737745,8.838835,7.071068,7.071068,5.0,7.28869,9.519716,135.0,125.53768,180.0,108.43495,71.56505,144.46233,135.0,180.0,135.0,45.0,90.0,90.0,270.0,270.0,270.0,45.0,45.0,0.0,348.69006,351.8699,45.0,45.0,0.0,329.03625,336.80142,40.0,-10.0,10.0,30.0,-30.0,-10.0,-20.0,-10.0,-10.0,10.0,10.0,-10.0,-0.0,-0.0,-0.0,-0.0,-20.0,-10.0,-10.0,-20.0,20.0,-0.0,10.0,-0.0,30.0
17660,25.495098,25.495098,5.0,30.413813,30.413813,25.495098,25.495098,5.0,30.413813,30.413813,25.0,25.0,0.0,30.0,30.0,23.717083,25.739077,15.0,32.596012,35.531677,19.039433,21.505814,15.0,28.504387,31.819805,78.69007,78.69007,0.0,80.53768,80.53768,78.69007,78.69007,0.0,80.53768,80.53768,90.0,90.0,270.0,90.0,90.0,71.56505,60.945396,0.0,57.52881,50.710594,66.80141,54.462322,0.0,52.125015,45.0,40.0,-60.0,-10.0,50.0,-70.0,60.0,-40.0,10.0,70.0,-50.0,50.0,-50.0,-0.0,60.0,-60.0,40.0,-80.0,-30.0,30.0,-110.0,40.0,-0.0,30.0,70.0,10.0
17661,67.08204,67.08204,30.0,31.868872,29.633175,71.151245,67.91539,0.0,15.0,15.0,75.0,75.0,0.0,15.0,15.0,70.178345,70.178345,10.0,18.45603,17.410486,60.207973,60.207973,10.0,20.691181,19.764236,243.43495,243.43495,180.0,205.55997,207.64598,251.56505,263.65982,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,274.0856,265.9144,180.0,241.69925,248.9625,274.76364,265.23636,180.0,244.98311,251.56505,-30.0,30.0,-60.0,-90.0,-20.0,-210.0,150.0,-0.0,-30.0,30.0,-150.0,150.0,-0.0,-30.0,30.0,-170.0,170.0,20.0,-10.0,40.0,-90.0,90.0,-20.0,-60.0,30.0
