,landslide_id,latitude,longitude,landslide,event_date,rock_geo,rock_period,fis_nomr,rock_type,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_tax,soil_use
5212,5212,15.37694444,-90.53166667,1,2010-08-12,Ksd,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tm,Caliza,Buen Drenaje,Franca o Franca-Arcillosa,Media,Franco-Calcáreo o Franco-Arcillosa,Moderadamente Fina,Alto,Entisoles,VII
5214,5214,15.40388889,-91.47138889,1,2010-08-15,CPsr,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Ce,Esquisto Arcilloso,Buen Drenaje,Franco-Arcillo-Limosa,Moderadamente Fina,Franco-Arcillo-Limosa a Arcilla,Moderadamente Fina,Alto,Alfisoles,VII
5215,5215,14.67555556,-90.5275,1,2010-08-16,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VII
5217,5217,14.6325,90.49777778,1,2010-08-18,,,,,,,,,,,,,,
5218,5218,14.66416667,-90.57555556,1,2010-08-18,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gt,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa a Arcilla,Moderadamente Fina,Arcilla a Franco- Arcillosa o Franco-Arcillo- Arenosa,Moderadamente Fina,Bajo (Alto en las zonas quebradas),Alfisoles,VII
5219,5219,14.55944444,-90.70555556,1,2010-08-18,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,VIII
5220,5220,14.66194444,-90.51611111,1,2010-08-19,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VII
5221,5221,14.47055556,-90.82361111,1,2010-08-19,Qv,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Al,Ceniza Volcánica,Buen Drenaje,Franco-Arenosa,Moderadamente Fina,-999,-999,Alto,Entisoles,II
5226,5226,14.68916667,-90.47944444,1,2010-08-20,Qp,"Cretácico superior, se considera del Terciario.",Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VII
5227,5227,14.99833333,-89.35972222,1,2010-08-20,Pzm,Terciario al Cuaternario reciente.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Ab,"Granito, Gneis y Esquisto",Buen Drenaje,Franco-Arcillo-Arenosa Fina a Franco-Limosa,Moderadamente Fina,Franco-Arcillosa a Franco-Arcillo-Micácea,Moderadamente Fina,Alto,Inceptisoles,VII
5232,5232,14.72916667,-90.45166667,1,2010-08-21,I,"Cretácico superior, se considera del Terciario.",Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Chn,"Granito, Gneis",Buen Drenaje,Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillo-Micácea,Moderadamente Fina,Alto,Inceptisoles,VI
5234,5234,15.25055556,-90.18083333,1,2010-08-22,Pc,Creatico superior en el Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tm,Caliza,Buen Drenaje,Franca o Franca-Arcillosa,Media,Franco-Calcáreo o Franco-Arcillosa,Moderadamente Fina,Alto,Entisoles,VIII
5235,5235,15.24,90.2325,1,2010-08-22,,,,,,,,,,,,,,
5240,5240,14.66277778,-90.57583333,1,2010-08-23,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gt,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa a Arcilla,Moderadamente Fina,Arcilla a Franco- Arcillosa o Franco-Arcillo- Arenosa,Moderadamente Fina,Bajo (Alto en las zonas quebradas),Alfisoles,VII
