,elevation_mean,slope_mean,aspect_mean,placurv_mean,procurv_mean,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide
8708,198.92,23.20185168,129.64339256000002,8.444096736,-14.355902999999998,138.6559403128922,1,64,23,1,1,5,2,7,9,7,2,4,0.14954682779456194,0.9905806693306696,0.49754032544382676,0.88746345,0.6699196875651185,0.47071240610381243,Low,High,Medium,High,High,Medium,Very Low,Very High,Medium,Very High,High,Medium,1
7309,2526.28,23.84182788,165.06136800000002,-0.2819512,29.718048800000002,60.5662593152374,2,125,12,1,23,4,2,7,2,7,1,72,0.913588850174216,0.9924821753936682,0.5032377971387927,0.9971077,0.8549045278820275,0.8988079036761978,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
744,2030.28,3.5995933240000006,161.26701119999998,1.32,-3.08,58.03641237039119,1,111,12,1,22,4,2,7,2,7,1,55,0.913588850174216,0.08631504743049712,0.5020345283386898,0.11946541,0.7635054906446338,0.9183107585336096,High,Low,Medium,Low,High,High,Very High,Very Low,Medium,Very Low,High,Very High,0
686,1333.2,21.084728920000003,213.71153279999996,-6.658741328000001,-6.6587410799999995,0.1518370024859905,3,4,54,1,23,4,8,7,2,7,1,72,0.09595959595959595,0.0,0.49756733525254143,0.010778419,0.2983799668939331,0.15630903187068088,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0
5059,127.36,2.634432268,128.10314128,-1.32,1.88,120.19868599809706,6,30,25,4,1,5,2,7,4,6,2,65,0.14954682779456194,0.0001923076923076923,0.4962357385804202,0.021461641,0.2089006252026055,0.08996852461700287,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0
677,1247.12,21.65527296,77.17558852,8.61835722,1.818356760000001,24.018455828540027,4,52,32,1,16,3,8,5,10,7,1,61,0.7668539325842697,0.024100646262574674,0.5022593303662998,0.068990454,0.3802049182406867,0.24368521437989757,High,Low,Medium,Low,Medium,Low,High,Very Low,Medium,Very Low,Low,Low,0
4335,124.44,3.0772961640000007,215.47875280000005,0.22,-4.98,0.0738168433308601,6,30,25,4,1,5,2,7,4,6,2,20,0.012618296529968454,0.0,0.4892762723872759,0.00018977368,0.04341780289524263,0.02431192568197999,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
8461,807.76,3.9020832760000004,246.59101320000002,-0.46,-0.46,86.1623987769708,4,92,8,1,1,5,2,7,2,7,2,8,0.6193548387096774,0.9628936993419502,0.5006604223397381,0.9502102,0.38523559050822176,0.2940646106056481,Medium,High,Medium,High,Medium,Low,High,Very High,Medium,Very High,Low,Low,1
7171,2484.08,12.815193464000004,134.4302896,3.16665484,-1.2333454799999999,65.9028459219262,3,110,62,8,44,6,64,9,13,2,1,56,0.913588850174216,1.0,0.5052799894318324,0.9967051,0.9116298399474992,0.9538413805155717,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
1719,44.16,4.862062828000001,164.37724692,-0.86,2.74,0.0299428682774305,7,72,47,5,1,5,2,7,4,2,2,41,0.012618296529968454,0.0,0.48749945923652216,0.00020014282,0.013821681140441817,0.021718703908678066,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
